,image,labelname,labelnumber,pct,filename
97,cards\Rorschach_blot_10.jpg,wine_bottle,7,2.05,densenet201
98,cards\Rorschach_blot_10.jpg,handkerchief,8,0.71,densenet201
99,cards\Rorschach_blot_10.jpg,feather_boa,9,0.52,densenet201
0,cards\Rorschach_blot_01.jpg,warplane,0,88.33,inceptionresnetv2
1,cards\Rorschach_blot_01.jpg,missile,1,3.38,inceptionresnetv2
2,cards\Rorschach_blot_01.jpg,wing,2,2.91,inceptionresnetv2
3,cards\Rorschach_blot_01.jpg,projectile,3,2.56,inceptionresnetv2
4,cards\Rorschach_blot_01.jpg,space_shuttle,4,0.36,inceptionresnetv2
5,cards\Rorschach_blot_01.jpg,aircraft_carrier,5,0.12,inceptionresnetv2
6,cards\Rorschach_blot_01.jpg,airliner,6,0.05,inceptionresnetv2
7,cards\Rorschach_blot_01.jpg,parachute,7,0.04,inceptionresnetv2
8,cards\Rorschach_blot_01.jpg,airship,8,0.04,inceptionresnetv2
9,cards\Rorschach_blot_01.jpg,starfish,9,0.04,inceptionresnetv2
10,cards\Rorschach_blot_02.jpg,wall_clock,0,18.41,inceptionresnetv2
11,cards\Rorschach_blot_02.jpg,feather_boa,1,2.1,inceptionresnetv2
12,cards\Rorschach_blot_02.jpg,admiral,2,2.09,inceptionresnetv2
13,cards\Rorschach_blot_02.jpg,throne,3,2.05,inceptionresnetv2
14,cards\Rorschach_blot_02.jpg,poncho,4,2.0,inceptionresnetv2
15,cards\Rorschach_blot_02.jpg,black_grouse,5,1.84,inceptionresnetv2
16,cards\Rorschach_blot_02.jpg,cloak,6,1.67,inceptionresnetv2
17,cards\Rorschach_blot_02.jpg,quill,7,1.58,inceptionresnetv2
18,cards\Rorschach_blot_02.jpg,volcano,8,1.55,inceptionresnetv2
19,cards\Rorschach_blot_02.jpg,mask,9,1.4,inceptionresnetv2
20,cards\Rorschach_blot_03.jpg,book_jacket,0,37.41,inceptionresnetv2
21,cards\Rorschach_blot_03.jpg,shield,1,8.02,inceptionresnetv2
22,cards\Rorschach_blot_03.jpg,tray,2,6.83,inceptionresnetv2
23,cards\Rorschach_blot_03.jpg,binder,3,5.41,inceptionresnetv2
24,cards\Rorschach_blot_03.jpg,fire_screen,4,4.07,inceptionresnetv2
25,cards\Rorschach_blot_03.jpg,jersey,5,2.47,inceptionresnetv2
26,cards\Rorschach_blot_03.jpg,handkerchief,6,2.04,inceptionresnetv2
27,cards\Rorschach_blot_03.jpg,doormat,7,1.67,inceptionresnetv2
28,cards\Rorschach_blot_03.jpg,brass,8,1.53,inceptionresnetv2
29,cards\Rorschach_blot_03.jpg,envelope,9,1.46,inceptionresnetv2
30,cards\Rorschach_blot_04.jpg,fountain,0,61.72,inceptionresnetv2
31,cards\Rorschach_blot_04.jpg,fire_screen,1,4.88,inceptionresnetv2
32,cards\Rorschach_blot_04.jpg,space_shuttle,2,1.78,inceptionresnetv2
33,cards\Rorschach_blot_04.jpg,parachute,3,1.41,inceptionresnetv2
34,cards\Rorschach_blot_04.jpg,warplane,4,1.36,inceptionresnetv2
35,cards\Rorschach_blot_04.jpg,long-horned_beetle,5,1.11,inceptionresnetv2
36,cards\Rorschach_blot_04.jpg,isopod,6,1.0,inceptionresnetv2
37,cards\Rorschach_blot_04.jpg,ground_beetle,7,0.89,inceptionresnetv2
38,cards\Rorschach_blot_04.jpg,wall_clock,8,0.83,inceptionresnetv2
39,cards\Rorschach_blot_04.jpg,scorpion,9,0.82,inceptionresnetv2
40,cards\Rorschach_blot_05.jpg,long-horned_beetle,0,32.23,inceptionresnetv2
41,cards\Rorschach_blot_05.jpg,ground_beetle,1,31.71,inceptionresnetv2
42,cards\Rorschach_blot_05.jpg,rhinoceros_beetle,2,13.13,inceptionresnetv2
43,cards\Rorschach_blot_05.jpg,cockroach,3,2.74,inceptionresnetv2
44,cards\Rorschach_blot_05.jpg,weevil,4,2.61,inceptionresnetv2
45,cards\Rorschach_blot_05.jpg,leaf_beetle,5,2.57,inceptionresnetv2
46,cards\Rorschach_blot_05.jpg,cricket,6,1.47,inceptionresnetv2
47,cards\Rorschach_blot_05.jpg,tiger_beetle,7,1.14,inceptionresnetv2
48,cards\Rorschach_blot_05.jpg,isopod,8,1.12,inceptionresnetv2
49,cards\Rorschach_blot_05.jpg,dung_beetle,9,0.88,inceptionresnetv2
50,cards\Rorschach_blot_06.jpg,conch,0,47.75,inceptionresnetv2
51,cards\Rorschach_blot_06.jpg,space_shuttle,1,5.79,inceptionresnetv2
52,cards\Rorschach_blot_06.jpg,sea_cucumber,2,5.32,inceptionresnetv2
53,cards\Rorschach_blot_06.jpg,starfish,3,1.27,inceptionresnetv2
54,cards\Rorschach_blot_06.jpg,hook,4,0.52,inceptionresnetv2
55,cards\Rorschach_blot_06.jpg,triceratops,5,0.51,inceptionresnetv2
56,cards\Rorschach_blot_06.jpg,banana,6,0.5,inceptionresnetv2
57,cards\Rorschach_blot_06.jpg,breastplate,7,0.39,inceptionresnetv2
58,cards\Rorschach_blot_06.jpg,table_lamp,8,0.37,inceptionresnetv2
59,cards\Rorschach_blot_06.jpg,flatworm,9,0.34,inceptionresnetv2
60,cards\Rorschach_blot_07.jpg,geyser,0,20.92,inceptionresnetv2
61,cards\Rorschach_blot_07.jpg,parachute,1,16.61,inceptionresnetv2
62,cards\Rorschach_blot_07.jpg,warplane,2,11.11,inceptionresnetv2
63,cards\Rorschach_blot_07.jpg,missile,3,9.16,inceptionresnetv2
64,cards\Rorschach_blot_07.jpg,projectile,4,4.34,inceptionresnetv2
65,cards\Rorschach_blot_07.jpg,volcano,5,4.03,inceptionresnetv2
66,cards\Rorschach_blot_07.jpg,chain,6,1.88,inceptionresnetv2
67,cards\Rorschach_blot_07.jpg,wing,7,1.05,inceptionresnetv2
68,cards\Rorschach_blot_07.jpg,hook,8,0.83,inceptionresnetv2
69,cards\Rorschach_blot_07.jpg,airship,9,0.8,inceptionresnetv2
70,cards\Rorschach_blot_08.jpg,shovel,0,10.12,inceptionresnetv2
71,cards\Rorschach_blot_08.jpg,missile,1,6.25,inceptionresnetv2
72,cards\Rorschach_blot_08.jpg,fountain,2,3.2,inceptionresnetv2
73,cards\Rorschach_blot_08.jpg,parachute,3,2.92,inceptionresnetv2
74,cards\Rorschach_blot_08.jpg,tick,4,2.39,inceptionresnetv2
75,cards\Rorschach_blot_08.jpg,pencil_sharpener,5,2.22,inceptionresnetv2
76,cards\Rorschach_blot_08.jpg,projectile,6,2.12,inceptionresnetv2
